"device_ID","session_start_timeStamp","focal_start_timeStamp","scan_timeStamp","scanVars","Cloud Cover","Rain"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,19:48:16","2019-06-22,19:48:16","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,19:48:16","2019-06-22,19:48:16","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,19:48:16","2019-06-22,20:18:16","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,19:48:16","2019-06-22,20:18:16","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,19:48:16","2019-06-22,20:48:16","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,19:48:16","2019-06-22,20:48:16","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,19:48:16","2019-06-22,21:18:17","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,19:48:16","2019-06-22,21:18:17","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,19:12:43","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,19:12:43","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,19:42:43","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,19:42:43","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,20:12:43","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,20:12:43","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,20:42:44","Cloud Cover",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,20:42:44","Precipitation",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,19:12:43","2019-06-23,21:12:44","Cloud Cover",,
