"","timestamp","Region1_total","Region2_total","Region3_total","Region1_visible","Region1_hidden","Region2_visible","Region2_hidden","Region3_visible","Region3_hidden","Study_night","Kinkajou_Notes","Video_Notes"
"207",2019-12-16 21:58:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"208",2019-12-16 21:59:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"209",2019-12-16 22:00:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"210",2019-12-16 22:01:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"211",2019-12-16 22:02:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"212",2019-12-16 22:03:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"213",2019-12-16 22:04:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"214",2019-12-17 20:50:09,0,1,0,0,0,1,0,0,0,3,NA,NA
"215",2019-12-17 20:51:09,0,1,0,0,0,1,0,0,0,3,NA,NA
"216",2019-12-17 20:52:09,0,1,0,0,0,1,0,0,0,3,NA,NA
"217",2019-12-17 20:53:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"218",2019-12-17 20:54:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"219",2019-12-17 20:55:09,0,0,1,0,0,0,0,1,0,3,"jump from tree 0:05:25",NA
"220",2019-12-17 20:56:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"221",2019-12-17 20:57:09,1,0,0,1,0,0,0,0,0,3,NA,NA
"222",2019-12-17 20:58:09,1,0,0,1,0,0,0,0,0,3,NA,NA
"223",2019-12-17 20:59:09,1,0,0,1,0,0,0,0,0,3,NA,NA
"224",2019-12-17 21:00:09,1,0,0,1,0,0,0,0,0,3,NA,NA
"225",2019-12-17 21:01:09,1,0,0,1,0,0,0,0,0,3,NA,NA
"226",2019-12-17 21:02:09,1,0,0,1,0,0,0,0,0,3,NA,NA
"227",2019-12-17 21:03:09,1,0,0,1,0,0,0,0,0,3,NA,"no video 13:35"
"228",2019-12-17 21:04:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"229",2019-12-17 21:05:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"230",2019-12-17 21:06:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"231",2019-12-17 21:07:09,0,1,0,0,0,1,0,0,0,3,NA,"video back 17:35"
"232",2019-12-17 21:08:09,0,1,0,0,0,1,0,0,0,3,NA,NA
"233",2019-12-17 21:09:09,0,1,0,0,0,1,0,0,0,3,NA,NA
"234",2019-12-17 21:10:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"235",2019-12-17 21:11:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"236",2019-12-17 21:12:09,0,0,1,0,0,0,0,1,0,3,"jump from tree 22:38",NA
"237",2019-12-17 21:13:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"238",2019-12-17 21:14:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"239",2019-12-17 21:15:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"240",2019-12-17 21:16:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"241",2019-12-17 21:17:09,0,0,1,0,0,0,0,1,0,3,NA,NA
"242",2019-12-17 21:18:09,1,0,0,1,0,0,0,0,0,3,"transition over r2",NA
